"WaterYear","StationCode","Result"
"2017","LIS",13.329375
"2017","SHR",2.42462962962963
"2017","STTD",9.51957142857143
"2018","LIS",12.87390625
"2018","SHR",3.04814814814815
"2018","STTD",8.7997619047619
"2019","LIS",7.75827586206897
"2019","SHR",2.21580459770115
"2019","STTD",5.74301282051282
