"WaterYear","StationCode","biovolume"
"2017","LIS",5211501.09423879
"2017","SHR",1232781.5547344
"2017","STTD",3025500.5479828
"2018","LIS",2699007.02784534
"2018","SHR",1811734.89953725
"2018","STTD",2190952.52703022
"2019","LIS",2414384.48902558
"2019","SHR",2804517.84217885
"2019","STTD",1268121.65527765
