"Date","StationCode","Result","Year","month","WaterYear"
2017-03-22,"STTD",18.255,2017,3,"2017"
2017-03-28,"STTD",15.52,2017,3,"2017"
2018-03-28,"LIS",18.995,2018,3,"2018"
2018-03-28,"STTD",14.7,2018,3,"2018"
2019-03-28,"LIS",19.75,2019,3,"2019"
2019-03-28,"STTD",23.3,2019,3,"2019"
2018-03-29,"SHR",2.97,2018,3,"2018"
2019-03-29,"SHR",2.94,2019,3,"2019"
2017-03-08,"SHR",2.77,2017,3,"2017"
2017-03-09,"LIS",2.355,2017,3,"2017"
2017-03-09,"STTD",1.995,2017,3,"2017"
2018-04-10,"LIS",3.615,2018,4,"2018"
2018-04-10,"STTD",5.445,2018,4,"2018"
2018-04-11,"SHR",2.73,2018,4,"2018"
2017-04-13,"STTD",10.56,2017,4,"2017"
2019-04-15,"LIS",2.925,2019,4,"2019"
2019-04-15,"STTD",4.56,2019,4,"2019"
2019-04-16,"SHR",2.33,2019,4,"2019"
2017-04-18,"LIS",3.98,2017,4,"2017"
2017-04-18,"STTD",5.29,2017,4,"2017"
2017-04-19,"SHR",2.505,2017,4,"2017"
2019-04-22,"LIS",18.705,2019,4,"2019"
2019-04-22,"STTD",15.4,2019,4,"2019"
2019-04-23,"SHR",3.515,2019,4,"2019"
2018-04-24,"SHR",5.54,2018,4,"2018"
2018-04-25,"LIS",27.75,2018,4,"2018"
2018-04-25,"STTD",16.8,2018,4,"2018"
2017-04-26,"LIS",10.075,2017,4,"2017"
2017-04-26,"STTD",4.98,2017,4,"2017"
2019-04-03,"LIS",12.2,2019,4,"2019"
2019-04-03,"STTD",8.59,2019,4,"2019"
2017-04-04,"SHR",6.905,2017,4,"2017"
2019-04-04,"SHR",4.12,2019,4,"2019"
2017-04-05,"LIS",21.925,2017,4,"2017"
2017-04-05,"STTD",23.79,2017,4,"2017"
2019-04-08,"LIS",1.73,2019,4,"2019"
2019-04-08,"STTD",4.395,2019,4,"2019"
2019-04-09,"SHR",2.445,2019,4,"2019"
2018-05-01,"LIS",13.85,2018,5,"2018"
2018-05-01,"STTD",11.4,2018,5,"2018"
2018-05-15,"LIS",6.85,2018,5,"2018"
2018-05-15,"STTD",6.44,2018,5,"2018"
2017-05-16,"LIS",19.545,2017,5,"2017"
2017-05-16,"STTD",45.96,2017,5,"2017"
2018-05-16,"SHR",3.51,2018,5,"2018"
2017-05-17,"SHR",2.62,2017,5,"2017"
2018-05-02,"SHR",6.385,2018,5,"2018"
2019-05-20,"LIS",9.63,2019,5,"2019"
2019-05-20,"STTD",9.605,2019,5,"2019"
2019-05-21,"SHR",2.455,2019,5,"2019"
2018-05-29,"SHR",4.08,2018,5,"2018"
2017-05-03,"LIS",4.735,2017,5,"2017"
2017-05-30,"LIS",37.865,2017,5,"2017"
2017-05-30,"STTD",30.71,2017,5,"2017"
2018-05-30,"LIS",20.4,2018,5,"2018"
2018-05-30,"STTD",1.265,2018,5,"2018"
2017-05-31,"SHR",2.3,2017,5,"2017"
2017-05-04,"SHR",2.94,2017,5,"2017"
2017-05-05,"STTD",13.56,2017,5,"2017"
2019-05-06,"LIS",14.55,2019,5,"2019"
2019-05-06,"STTD",8.41,2019,5,"2019"
2019-05-07,"SHR",1.615,2019,5,"2019"
2017-05-09,"STTD",28.58,2017,5,"2017"
2017-06-12,"LIS",15.37,2017,6,"2017"
2017-06-12,"STTD",17.795,2017,6,"2017"
2018-06-12,"LIS",16,2018,6,"2018"
2018-06-12,"STTD",0.89,2018,6,"2018"
2017-06-13,"SHR",2.745,2017,6,"2017"
2018-06-13,"SHR",3.01,2018,6,"2018"
2019-06-17,"LIS",4.72,2019,6,"2019"
2019-06-17,"STTD",1.24,2019,6,"2019"
2019-06-18,"SHR",1.65,2019,6,"2019"
2017-06-21,"LIS",18.475,2017,6,"2017"
2018-06-26,"LIS",7.54,2018,6,"2018"
2018-06-26,"STTD",1.8,2018,6,"2018"
2017-06-27,"SHR",2.665,2017,6,"2017"
2018-06-27,"SHR",3.155,2018,6,"2018"
2017-06-28,"LIS",15.37,2017,6,"2017"
2017-06-28,"STTD",2.47,2017,6,"2017"
2019-06-03,"LIS",8.245,2019,6,"2019"
2019-06-03,"STTD",3.515,2019,6,"2019"
2019-06-04,"SHR",1.515,2019,6,"2019"
2019-07-01,"LIS",11.72,2019,7,"2019"
2019-07-01,"STTD",1.075,2019,7,"2019"
2018-07-10,"LIS",6.6,2018,7,"2018"
2018-07-12,"SHR",2.33,2018,7,"2018"
2017-07-13,"LIS",43.93,2017,7,"2017"
2017-07-13,"STTD",3.27,2017,7,"2017"
2019-07-15,"LIS",8.455,2019,7,"2019"
2019-07-15,"STTD",1.39,2019,7,"2019"
2019-07-16,"SHR",2.32,2019,7,"2019"
2017-07-18,"SHR",3.595,2017,7,"2017"
2017-07-19,"LIS",10.44,2017,7,"2017"
2017-07-19,"STTD",5.09,2017,7,"2017"
2019-07-02,"SHR",2.235,2019,7,"2019"
2018-07-25,"SHR",2.61,2018,7,"2018"
2018-07-26,"LIS",12.2,2018,7,"2018"
2017-07-27,"LIS",14.99,2017,7,"2017"
2017-07-27,"STTD",3.03,2017,7,"2017"
2017-07-06,"LIS",25.33,2017,7,"2017"
2017-07-06,"STTD",5.05,2017,7,"2017"
2017-08-01,"SHR",4.37,2017,8,"2017"
2018-08-13,"LIS",8.59,2018,8,"2018"
2017-08-15,"SHR",3.34,2017,8,"2017"
2019-08-19,"SHR",1.74,2019,8,"2019"
2017-08-02,"LIS",13.195,2017,8,"2017"
2017-08-02,"STTD",5.62,2017,8,"2017"
2018-08-02,"LIS",8.2,2018,8,"2018"
2019-08-20,"LIS",17.9,2019,8,"2019"
2019-08-21,"STTD",2.86333333333333,2019,8,"2019"
2018-08-22,"LIS",5.55,2018,8,"2018"
2018-08-23,"SHR",1.37,2018,8,"2018"
2017-08-29,"SHR",2.35,2017,8,"2017"
2018-08-30,"LIS",11.1,2018,8,"2018"
2019-08-05,"SHR",2.215,2019,8,"2019"
2019-08-06,"LIS",18.2,2019,8,"2019"
2019-08-07,"STTD",1.15666666666667,2019,8,"2019"
2018-08-08,"LIS",4.6,2018,8,"2018"
2018-08-09,"SHR",1.99,2018,8,"2018"
2017-09-12,"SHR",2.765,2017,9,"2017"
2018-09-13,"LIS",6.92,2018,9,"2018"
2019-09-16,"SHR",2.23,2019,9,"2019"
2019-09-17,"LIS",6.75,2019,9,"2019"
2019-09-18,"STTD",6.71,2019,9,"2019"
2017-09-19,"SHR",2.775,2017,9,"2017"
2018-09-19,"LIS",9.52,2018,9,"2018"
2017-09-20,"LIS",50.29,2017,9,"2017"
2017-09-20,"STTD",2.615,2017,9,"2017"
2018-09-20,"SHR",1.34,2018,9,"2018"
2018-09-27,"LIS",8.23,2018,9,"2018"
2019-09-03,"LIS",4.88,2019,9,"2019"
2019-09-30,"SHR",1.815,2019,9,"2019"
2018-09-04,"LIS",6.3,2018,9,"2018"
2019-09-04,"STTD",9.16333333333333,2019,9,"2019"
2019-09-05,"SHR",0.993333333333333,2019,9,"2019"
2018-09-06,"SHR",1.71,2018,9,"2018"
