Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY
5/4/2017,SHR,10:08,1,16.4,0.42,83,100,7.55,9.73,14.7,TRUE,2472,0.09,1852,0.29,1231,0.65,643,2.09,29,WY17
4/26/2017,STTD,9:49,1,15.7,0.41,99.3,121,7.11,9.53,18,TRUE,529.8,0.04,391.1,0.09,267.4,0.4,128.8,0.96,6.2,WY17
4/19/2017,SHR,8:48,1,12.1,1,66,87.4,7.25,11.02,18.8,TRUE,2231,0.04,1696,0.12,1154,0.42,551,1.59,25,WY17
4/18/2017,STTD,9:40,1,13.4,0.33,100,129,7.24,9.26,22,TRUE,2524,0.07,1811,0.29,1282,0.47,626,1.13,19.3,WY17
4/13/2017,STTD,10:09,1,14.7,0.26,114,217,7.9,9.14,27.7,TRUE,914.5,0.14,686.2,0.24,455.3,0.6,228.9,100,43.2,WY17
6/13/2017,SHR,8:15,1,16.5,1.2,88.7,106,7.46,9.29,14,TRUE,2004,0.03,1522,0.1,1007,0.42,502,1.86,24.2,WY17
6/12/2017,STTD,10:30,,21,0.17,551,596,7.75,4.82,54,TRUE,2422,0.03,1826,0.14,1224,0.21,608,0.67,25,WY17
5/31/2017,SHR,9:18,,16.9,,75,88,7.14,9.55,11,TRUE,1268,0.04,946.5,0.36,649,0.69,323.2,2.1,30.62,WY17
5/30/2017,STTD,11:05,1,21.9,0.2,644,685,7.95,6.5,38.6,TRUE,2125,0.98,1598,0.17,1070,0.29,530,0.47,21.74,WY17
5/16/2017,STTD,10:10,1,19.1,0.32,473,533,7.94,6.97,23.4,TRUE,1489.7,0.04,1126,0.1,745.5,0.26,369.7,1.07,14.23,WY17
5/17/2017,SHR,7:38,1,14.5,1,70.6,88.3,7.09,10.17,21.4,TRUE,2079,0.05,1567,0.16,1005,0.37,519.8,1.48,20.06,WY17
5/9/2017,STTD,10:23,1,21.6,0.2,476,510,7.99,6.24,45.6,TRUE,2300,0.13,1718.2,0.21,1146.3,0.3,568.1,0.73,24.53,WY17
6/27/2017,SHR,8:56,1,20.6,1.8,88.4,96.5,7.1,8.76,4.5,TRUE,2301,0.05,1732,0.33,1153,0.86,575,2.18,130,WY17
7/18/2017,SHR,8:42,1,22.3,1.7,104,110,7.58,8.5,7.6,TRUE,2205,0.06,1657,0.17,1104,0.76,552,2.35,40,WY17
8/1/2017,SHR,8:55,,21.8,,98,104,7.79,8.64,8.2,TRUE,1916.7,0.04,1481,0.21,963,0.71,490,2.45,57.9,WY17
8/29/2017,SHR,9:05,1,21.2,0.9,111,120,7.77,8.53,8.1,TRUE,1987.7,0.1,1474,0.21,997,0.72,493,2.49,22.71,WY17
8/15/2017,SHR,9:36,1,20.6,0.85,102,111,7.52,8.66,8.4,TRUE,2274,0.04,1712,0.26,1131,0.78,568,2.42,75,WY17
