Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY,Z,Z(lnlz),z^2,VEC
11/28/2016,STTD,9:28:00 AM,,12.1,0.54,280,371,7.79,8.67,12.9,TRUE,606.4,0.04,462.3,0.06,301.6,0.29,156.33,1.58,6.11,WY17,1.97,4.912750017,2.5857,9.468450017
11/1/2018,LIS,11:52:00 AM,1,15.9,0.25,257,311,7.8,7.42,39.8,TRUE,2353,0.07,1760.1,0.18,1179,0.31,583.7,0.95,23.75,,1.51,6.779868177,1.0359,9.325768177
10/4/2018,LIS,12:08:00 PM,1,20.9,0.24,369,400,8.12,6.2,31.5,TRUE,3000,0.03,2203,0.08,1525,0.24,765.5,1.13,31.66,,1.48,6.315245329,1.3418,9.137045329
1/18/2018,SHR,9:27:00 AM,,11.2,0.7,144,196,7.39,9.97,17.9,TRUE,285.8,0.02,216,0.05,142.3,0.33,77,1.78,2.8,WY18,2.18,3.621580795,3.2802,9.081780795
2/13/2018,STTD,9:15:00 AM,,11.2,0.36,554,752,7.87,8.54,21.3,TRUE,2062,0.03,1545.7,0.08,1030.8,0.26,516.5,1.19,20.54,WY18,1.56,5.996209082,1.491,9.047209082
9/3/2019,LIS,11:18:00 AM,1,24.4,0.22,533,540,7.86,4.51,39.5,TRUE,2379,0.07,1782,0.15,1186,0.29,595.9,0.96,23.75,,1.47,6.47973601,1.0331,8.98283601
9/13/2017,LIS,1:06:00 PM,1,25.1,0.17,690,688,8.25,6.11,30.2,TRUE,2381,0.02,1788,0.09,1198,0.34,589,1.04,23.6,,1.49,6.244095332,1.2057,8.939795332
3/29/2019,SHR,9:05:00 AM,1,11.5,0.3,98,124,7.69,10.66,23.4,TRUE,2048,0.03,1542.6,0.06,1022,0.27,512.2,1.16,20.8,WY19,1.52,5.841006305,1.423,8.784006305
5/9/2017,STTD,10:23:00 AM,1,21.6,0.2,476,510,7.99,6.24,45.6,TRUE,2300,0.13,1718.2,0.21,1146.3,0.3,568.1,0.73,24.53,WY17,1.37,6.686290046,0.6839,8.740190046
2/2/2017,STTD,10:10:00 AM,1,9.4,0.23,130.8,186,7.48,9.59,37.7,TRUE,1880.7,0.03,1462.9,0.08,943.3,0.29,471.5,1.11,18.37,WY17,1.51,5.782710548,1.3235,8.616210548
3/22/2017,STTD,9:30:00 AM,1,15.5,0.42,297,363,8.14,8.91,27.3,TRUE,988.7,0.04,760,0.1,493.9,0.35,243.4,1.09,11.63,WY17,1.58,5.483124091,1.3222,8.385324091
3/8/2017,SHR,8:05:00 AM,,9.8,0.22,87,123,7.49,10.68,37.4,TRUE,2117,0.06,1619,0.11,1024,0.22,513,1.01,21.67,WY17,1.4,5.685384525,1.0842,8.169584525
12/29/2016,SHR,8:12:00 AM,1,7.4,0.35,85,128,7.52,10.97,20.7,TRUE,1450.9,0.05,1055.6,0.06,778.4,0.12,363.5,1.3,14.24,WY17,1.53,4.907892555,1.7105,8.148392555
5/16/2017,STTD,10:10:00 AM,1,19.1,0.32,473,533,7.94,6.97,23.4,TRUE,1489.7,0.04,1126,0.1,745.5,0.26,369.7,1.07,14.23,WY17,1.47,5.320989552,1.2241,8.015089552
2/22/2017,STTD,9:30:00 AM,,10,0.18,52.7,73.9,7.58,10.99,51.8,TRUE,2558,0.045,1927.8,0.12,1213.6,0.24,649.5,0.92,26.16,WY17,1.325,5.74992932,0.920425,7.99535432
7/7/2017,LIS,11:47:00 AM,1,25.6,,719,711,8.08,5.52,76.5,TRUE,2443,0.03,1831,0.14,1223,0.28,613,0.81,24.5,,1.26,5.608714633,0.755,7.623714633
4/5/2017,STTD,9:46:00 AM,1,17,0.26,414,489,8.14,8.33,33.8,TRUE,2060,0.04,1550,0.1,1034,0.26,509,0.9,21.6,WY17,1.3,5.373819881,0.8892,7.563019881
8/30/2017,LIS,8:59:00 AM,1,24.7,0.18,327,329,8.09,6.7,54.2,TRUE,2233,0.08,1673.8,0.15,1117,0.24,555.7,0.76,22.38,,1.23,5.525650725,0.6641,7.419750725
1/30/2018,STTD,9:50:00 AM,,10.3,0.33,478,665,7.77,8.86,26.2,TRUE,771.01,0.03,569.4,0.06,384.9,0.27,193,1.17,7.76,WY18,1.53,4.365752191,1.4463,7.342052191
3/20/2019,STTD,9:59:00 AM,1,14.3,0.22,170,213,7.74,9.01,27.4,TRUE,1292.6,0.03,997.1,0.06,610.8,0.16,323.2,1.17,12.04,WY19,1.42,4.427789413,1.399,7.246789413
12/13/2016,STTD,9:17:00 AM,1,9.9,0.48,463,463,7.74,8.26,17.7,TRUE,429.4,0.03,326.9,0.06,218.3,0.23,110.14,1.35,4.78,WY17,1.67,3.690239608,1.8799,7.240139608
8/16/2017,LIS,8:35:00 AM,,22.4,0.18,317,333,8.28,7.54,45.1,TRUE,2059,0.09,1567,0.13,1023,0.22,509,0.78,19.66,,1.22,5.257522695,0.6818,7.159322695
4/11/2018,SHR,9:18:00 AM,,13.9,0.25,80,102,7.36,9.63,44.7,TRUE,899.9,0.04,684,0.09,436.7,0.26,212,1.07,8.23,WY18,1.46,4.456293965,1.2222,7.138493965
